material_number,material_description,our_cost
218A4629P2,FEMALE CONNECTOR HOU,0.99
36B605787ACG03,2PL W/ARCNET 'P',39.58
DS215SLCCG2AZZ01A,SLCCG2 & FW,6106.80
219A4015G4,TEST PROBE,4.30
218A4609P4,PIN SOCKET,1.58
DS2020LPPB311A,LPP 1500V BF/GND DETECT W/MOV,1285.57
246B2300DAG12,HARN VME LOAD FCSA 5',44.74
DS2020FECNRX020A,FLD EXC. 20A (NR-NP),879.80
68A7184P15,CAP .25 2000V 10% OIL CASE,40.24
246B2300DAG11,HARN VME SRCA FCSA 5',36.31
221665HM0000AATS,VME OS PLATING REQ'D,32.14
246B2300GAG11,HARN PS LOAD TO I/O,14.99
36B605787ACG02A,CBL 2PL W/SLCC CRIMPED {DC DX},199.26
36A358941AAG02,MAINT.KIT-DC2000 JU,12.02
336A3517AHG01,WIRE APL  IIBD-IPCSA-SHA,38.00
68A7628P44,SILICON CONT RECT,712.34
68A9585P1,RESISTOR-CAPACITOR NETWORK,35.00
336A3499BNG01,GSIA TO CAP PNL 1,40.34
336A3499AYG01,RPL  RTB-LTB,47.71
336A3517AJG01,WIRE BPL  IIBD-IPCSB-SHB,39.00
36A358208EYG01,14PL-M C&G-FRAME,18.91
36A358218BCG01,GATE LEADS L REG W.B.,8.15
68A9563P2,600V  1.0A 1N5061GP,1.01
336A3540ADG01,OC2000 CMPL CABLE,12.31
336A3540ALG01,UC2000 FAN CABLE (BA,6.29
336A3533AAG01,OBS - USE 336A3533AA  G04,1674.09
336A3517AKG01,WIRE CPL  IIBD-IPCSC-SHC,49.00
36A358218FXG02,CARD PPL CABLE,1.07
68A9583P20,CAP .65 6750V MATC,516.27
68A9663PAC115X,RELAY 10A 115VAC 2PD,3.78
68A7336P11,TOGGLE SWITCH-MINI-D,12.98
336A3485AJG03,WIRES;J-IF1PL,17.48
336A3485AJG04,WIRESJ-IF2PL,18.23
799C914AC002,FUSE BLOCK,4.07
36A358218XAG02,6PL CABLE,39.41
799C914AB 003,FUSE BLOCK (2 PT),23.72
336A3485ADG04,2FPL(DCFB)-2FPLX,28.18
336A3499AFG05,TB P1/P2 FEEDBB,4.06
336A3499ASG01,DC1PL/2PL,28.78
336A3499AQG11,MDA-CD TO 2TB19 20,13.76
68A9663PDC110X,RELAY  DPDT  SEALED ,5.20
6KS5N03,FL-AM FLTR B,218.00
36A358218XAG01,4PL CABLE,26.68
336A3499AWG01,CABLE IA1PL,86.53
336A3499ANG01,TARZAN FAN WIRES--MIN BUY 5 PCS,7.17
68A947263G4L160,RIBBON CABLE,32.07
336A5102P2,RESISTOR 25 OHM,1889.69
68A7897P8,DIODE (FAST REC.),21.95
36A358208AAG02,1PL CABLE MIN BUY 5,12.54
336A5101PAC115,RELAY 1A 115VAC 4PDT,24.39
336A4964ABG01,NTB CARD MODIFICATIO,2.44
336A5102P3,RESISTOR 14 OHM,2518.37
336A3540ATG01,OC2000 ARCPL,51.12
68A7896P8,RECTIFIER (800V 57,132.11
36A358208AAG01,5PL CABLE,24.43
36A353476ARG01,SCR ASM KIT DA153,119.80
36A353476AXG07,SCR ASM 125DA155 'D',135.50
68A7880PJ35A,SCR C702CEX1200,260.84
336A6405G1,J9 CABP-TOOL INNOVA,52.12
68A7964P1,RESISTOR-W/WOUND-0.0 100 PIECE MINIMUM,11.04
36A353243BBG01,FAN ASSEMBLY,145.01
68A7864P3,CAPACITOR-AL/EL,43.73
